BP,precip_raw,precip
6000,730.987055085245,671.591828618938
6100,746.035598895029,697.601132853758
6200,734.830097368682,729.141383642594
6300,718.70954708822,756.188309159083
6400,756.957928885389,769.051375456824
6500,777.912621351051,773.379854412616
6600,780.420712029892,776.83555823175
6700,817.88025893658,793.481998288679
6800,837.216828242118,823.810679458812
6900,789.563106686031,862.384708534388
7000,774.271844643169,898.9290046519
7100,780.592637086372,932.38288814052
7200,901.294497937964,959.150080692988
7300,1021.99635878956,979.386326676602
7400,1142.69821964115,998.59425549859
7500,1143.35558252617,1014.81189305514
7600,1114.95954691609,1025.92050961976
7700,1085.55218446127,1020.4819983516
7800,1039.57928807825,999.370954716066
7900,981.642394905919,962.741909459897
8000,936.448220208699,921.588996846912
8100,891.678802732534,879.594255752813
8200,846.90938525637,837.58697420571
8300,810.885922434219,797.223705598424
8400,776.407767079449,760.356189414308
8500,731.826456396322,727.312095555006
8600,695.012135975097,703.617516242875
8700,665.479368990244,691.640979029964
8800,635.946602005391,686.401901363079
8900,612.967233064752,688.476335015329
9000,606.007281615685,699.761731448063
9100,654.733009611219,719.165857653838
9200,727.144013127264,742.048746019513
9300,758.495145765364,755.206513021387
9400,797.152103601946,758.19134312793
9500,844.680420723665,749.532362549493
9600,889.053398032848,736.828479068867
9700,894.308252646996,716.769417504822
9800,767.524272024134,691.970064694469
9900,642.815534130178,660.534789628935
10000,519.417475831311,621.600728098451
10100,527.694174804968,577.37661803519
10200,526.553397486808,532.860841288266
10300,510.501617661835,502.152103376462
10400,482.79935294661,485.042880026887
10500,455.339805418824,480.127831596429
10600,446.812297400238,471.563511269228
10700,449.150485177753,459.045712021496
10800,460.436892906094,443.654126318761
10900,471.723300634435,427.471278436716
11000,470.266991526723,410.472896656619
11100,442.050971532964,390.765777027549
11200,401.375405009488,368.219053787915
11300,356.585760634479,342.856189731076
11400,320.970874126166,316.910194626411
11500,285.355987617853,292.221683210396
11600,249.741101109539,271.504652164988
11700,223.683252781414,247.801173291594
11800,206.808252337698,225.069781718482
11900,212.26334958779,207.30440953024
12000,223.381877366565,193.918487158335
12100,234.880661078893,184.467839816986
12200,164.340616275546,176.732605135617
12300,129.271844903361,171.250809098687
12400,143.317152243743,166.84122177226
12500,151.4967638988,162.937500103468
12600,155.234627696054,159.43153354921
12700,146.330905967721,164.399777774314
12800,151.990291968397,180.324231712284
12900,168.167476323521,204.172128041659
13000,184.344660678644,235.05552183092
13100,199.820995536318,269.632180402114
13200,214.023058526581,305.616504852039
13300,288.516384283064,341.26901288983
13400,381.79611553749,377.692051066889
13500,460.330701791412,420.225425135023
13600,501.001213407995,453.647957277137
13700,506.174150466968,472.318466752553
13800,508.515372346306,492.14552969766
13900,532.397858094116,511.288733717698
14000,609.678401359984,531.269013215862
14100,534.046316957454,542.935881939147
14200,400.728153280737,545.482301302424
14300,486.787013734139,532.783676780515
14400,573.228155737871,512.831512276457
14500,660.133496773048,486.693769234307
14600,617.669900640846,461.823927287886
14700,531.638344099739,443.786710854059
14800,381.529127127214,410.321601996552
14900,332.876213053544,366.19619743248
15000,348.300970938476,312.907362309066
15100,285.347897493242,264.12823632099
15200,220.355988942472,224.215615509141
15300,152.135925159068,199.577265916661
15400,131.974110097149,179.879854976343
15500,127.245145538912,158.729742951831
15600,129.87864076008,144.02156510752
15700,132.512135981249,135.959204953964
15800,135.145631202418,134.906740153403
15900,135.902103650368,136.443459102372
16000,136.799850693352,139.026076750503
16100,138.266119050133,141.918347119856
16200,139.732387406914,145.185804187388
16300,141.611277153455,148.83815669405
16400,147.341299586839,153.063106917162
16500,153.071322020223,157.846527397223
16600,158.801344453607,163.124457811615
16700,165.186706656571,168.683652665625
16800,171.669156269034,174.456555324173
16900,178.151605881496,180.021644748952
17000,184.634055493959,183.937780192478
17100,191.045423194054,185.859087846763
17200,195.324335947013,185.720033734849
17300,199.340303738937,183.510909115785
17400,202.992193834626,179.231713989573
